fname,datetime,date,hour,file_size
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240715_1010.wav,2024-07-15T10:10:00Z,2024-07-15,10,111439916
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240715_1210.wav,2024-07-15T12:10:00Z,2024-07-15,12,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240716_0510.wav,2024-07-16T05:10:00Z,2024-07-16,5,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240719_0810.wav,2024-07-19T08:10:00Z,2024-07-19,8,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240720_1010.wav,2024-07-20T10:10:00Z,2024-07-20,10,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240720_1300.wav,2024-07-20T13:00:00Z,2024-07-20,13,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240721_1700.wav,2024-07-21T17:00:00Z,2024-07-21,17,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240722_1510.wav,2024-07-22T15:10:00Z,2024-07-22,15,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240723_0710.wav,2024-07-23T07:10:00Z,2024-07-23,7,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240724_0600.wav,2024-07-24T06:00:00Z,2024-07-24,6,111439916
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240725_0500.wav,2024-07-25T05:00:00Z,2024-07-25,5,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240725_0810.wav,2024-07-25T08:10:00Z,2024-07-25,8,111427628
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240725_1800.wav,2024-07-25T18:00:00Z,2024-07-25,18,111427628
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240727_1204.wav,2024-07-27T12:04:00Z,2024-07-27,12,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240727_1610.wav,2024-07-27T16:10:00Z,2024-07-27,16,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240729_1310.wav,2024-07-29T13:10:00Z,2024-07-29,13,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240731_1100.wav,2024-07-31T11:00:00Z,2024-07-31,11,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240731_1410.wav,2024-07-31T14:10:00Z,2024-07-31,14,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240802_1410.wav,2024-08-02T14:10:00Z,2024-08-02,14,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240803_1000.wav,2024-08-03T10:00:00Z,2024-08-03,10,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240804_0810.wav,2024-08-04T08:10:00Z,2024-08-04,8,111452204
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240811_0810.wav,2024-08-11T08:10:00Z,2024-08-11,8,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240811_1410.wav,2024-08-11T14:10:00Z,2024-08-11,14,111390764
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240811_1700.wav,2024-08-11T17:00:00Z,2024-08-11,17,111390764
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240812_0910.wav,2024-08-12T09:10:00Z,2024-08-12,9,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240814_1000.wav,2024-08-14T10:00:00Z,2024-08-14,10,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240815_0600.wav,2024-08-15T06:00:00Z,2024-08-15,6,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240818_1310.wav,2024-08-18T13:10:00Z,2024-08-18,13,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240818_1810.wav,2024-08-18T18:10:00Z,2024-08-18,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240820_1510.wav,2024-08-20T15:10:00Z,2024-08-20,15,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240820_1810.wav,2024-08-20T18:10:00Z,2024-08-20,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240821_0710.wav,2024-08-21T07:10:00Z,2024-08-21,7,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240821_1310.wav,2024-08-21T13:10:00Z,2024-08-21,13,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240823_0610.wav,2024-08-23T06:10:00Z,2024-08-23,6,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240823_0810.wav,2024-08-23T08:10:00Z,2024-08-23,8,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240825_1800.wav,2024-08-25T18:00:00Z,2024-08-25,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240825_1810.wav,2024-08-25T18:10:00Z,2024-08-25,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240826_0610.wav,2024-08-26T06:10:00Z,2024-08-26,6,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240826_1800.wav,2024-08-26T18:00:00Z,2024-08-26,18,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240827_1210.wav,2024-08-27T12:10:00Z,2024-08-27,12,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240827_1310.wav,2024-08-27T13:10:00Z,2024-08-27,13,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240905_0810.wav,2024-09-05T08:10:00Z,2024-09-05,8,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240907_0500.wav,2024-09-07T05:00:00Z,2024-09-07,5,111433772
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240907_0610.wav,2024-09-07T06:10:00Z,2024-09-07,6,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240907_1510.wav,2024-09-07T15:10:00Z,2024-09-07,15,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240908_1300.wav,2024-09-08T13:00:00Z,2024-09-08,13,111421484
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240912_0700.wav,2024-09-12T07:00:00Z,2024-09-12,7,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240912_1700.wav,2024-09-12T17:00:00Z,2024-09-12,17,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240913_0900.wav,2024-09-13T09:00:00Z,2024-09-13,9,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Akitsu//20240914_1010.wav,2024-09-14T10:10:00Z,2024-09-14,10,111415340
