fname,datetime,date,hour,file_size
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240715_1100.wav,2024-07-15T11:00:00Z,2024-07-15,11,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240715_1710.wav,2024-07-15T17:10:00Z,2024-07-15,17,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240716_0710.wav,2024-07-16T07:10:00Z,2024-07-16,7,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240716_1005.wav,2024-07-16T10:05:00Z,2024-07-16,10,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240716_1015.wav,2024-07-16T10:15:00Z,2024-07-16,10,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240716_1100.wav,2024-07-16T11:00:00Z,2024-07-16,11,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240717_1000.wav,2024-07-17T10:00:00Z,2024-07-17,10,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240717_1103.wav,2024-07-17T11:03:00Z,2024-07-17,11,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240717_1210.wav,2024-07-17T12:10:00Z,2024-07-17,12,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240717_1810.wav,2024-07-17T18:10:00Z,2024-07-17,18,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240718_0710.wav,2024-07-18T07:10:00Z,2024-07-18,7,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240719_0900.wav,2024-07-19T09:00:00Z,2024-07-19,9,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240719_1200.wav,2024-07-19T12:00:00Z,2024-07-19,12,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240719_1700.wav,2024-07-19T17:00:00Z,2024-07-19,17,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_0500.wav,2024-07-20T05:00:00Z,2024-07-20,5,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1000.wav,2024-07-20T10:00:00Z,2024-07-20,10,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1100.wav,2024-07-20T11:00:00Z,2024-07-20,11,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1200.wav,2024-07-20T12:00:00Z,2024-07-20,12,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1410.wav,2024-07-20T14:10:00Z,2024-07-20,14,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1700.wav,2024-07-20T17:00:00Z,2024-07-20,17,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240720_1710.wav,2024-07-20T17:10:00Z,2024-07-20,17,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_0900.wav,2024-07-21T09:00:00Z,2024-07-21,9,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_1000.wav,2024-07-21T10:00:00Z,2024-07-21,10,111415340
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_1310.wav,2024-07-21T13:10:00Z,2024-07-21,13,111396908
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_1800.wav,2024-07-21T18:00:00Z,2024-07-21,18,111403052
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240721_1810.wav,2024-07-21T18:10:00Z,2024-07-21,18,111409196
/home/okamoto/TrueNAS/nies_audio_recording/2024/ChirpArray/Ryokuchi//20240722_0610.wav,2024-07-22T06:10:00Z,2024-07-22,6,111409196
