label,accuracy,f1,recall,precision,model_path,dataset
aburazemi,0.7911111111111111,0.6907894736842106,0.5833333333333334,0.8467741935483871,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,tune
higurashi,0.9577777777777776,0.3870967741935483,0.25,0.8571428571428571,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,tune
minminzemi,0.8733333333333333,0.7799227799227799,0.9351851851851852,0.6688741721854304,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,tune
niiniizemi,0.84,0.84,0.9264705882352942,0.7682926829268293,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,tune
tsukutsukuboushi,0.7733333333333333,0.5096153846153846,0.35333333333333333,0.913793103448276,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,tune
aburazemi,0.8033333333333333,0.6979522184300341,0.597953216374269,0.8381147540983607,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,test
higurashi,0.9566666666666668,0.3709677419354839,0.23958333333333337,0.8214285714285714,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,test
minminzemi,0.8833333333333333,0.7883064516129031,0.8747203579418344,0.7174311926605504,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,test
niiniizemi,0.8322222222222222,0.8451282051282052,0.9637426900584796,0.7525114155251141,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,test
tsukutsukuboushi,0.8483333333333334,0.5979381443298969,0.4451754385964912,0.9103139013452914,step3_model_training/mlruns/388903047945866758/4f3ae3e70f264063845e1cd09f3d47af,test
aburazemi,0.9133333333333332,0.8913649025069638,0.8888888888888888,0.8938547486033519,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,tune
higurashi,0.9488888888888888,0.30303030303030304,0.20833333333333337,0.5555555555555556,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,tune
minminzemi,0.92,0.8285714285714286,0.8055555555555556,0.8529411764705882,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,tune
niiniizemi,0.9066666666666666,0.9009433962264152,0.9362745098039216,0.8681818181818182,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,tune
tsukutsukuboushi,0.8244444444444444,0.6666666666666667,0.5266666666666666,0.9080459770114944,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,tune
aburazemi,0.9138888888888888,0.8874364560639071,0.8932748538011696,0.8816738816738817,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,test
higurashi,0.9622222222222222,0.6222222222222222,0.5833333333333334,0.6666666666666666,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,test
minminzemi,0.9094444444444444,0.8043217286914766,0.7494407158836689,0.8678756476683938,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,test
niiniizemi,0.9088888888888887,0.9071347678369196,0.936842105263158,0.8792535675082327,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,test
tsukutsukuboushi,0.8688888888888889,0.6810810810810811,0.5526315789473685,0.8873239436619719,step3_model_training/mlruns/388903047945866758/c5e8d4ff0e814e2f8d99ccd0ac2e5805,test
aburazemi,0.9377777777777778,0.9255319148936172,0.9666666666666668,0.8877551020408163,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,tune
higurashi,0.9511111111111112,0.4210526315789474,0.3333333333333333,0.5714285714285714,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,tune
minminzemi,0.9311111111111112,0.8442211055276381,0.7777777777777778,0.9230769230769232,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,tune
niiniizemi,0.9066666666666666,0.895,0.8774509803921569,0.9132653061224488,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,tune
tsukutsukuboushi,0.8333333333333334,0.6887966804979253,0.5533333333333333,0.912087912087912,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,tune
aburazemi,0.915,0.8947006194081211,0.9502923976608189,0.8452535760728218,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,test
higurashi,0.9683333333333334,0.6742857142857143,0.6145833333333334,0.7468354430379747,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,test
minminzemi,0.9227777777777778,0.8268991282689913,0.7427293064876958,0.9325842696629212,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,test
niiniizemi,0.915,0.9126213592233008,0.9345029239766082,0.8917410714285714,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,test
tsukutsukuboushi,0.89,0.7338709677419355,0.5986842105263158,0.9479166666666666,step3_model_training/mlruns/388903047945866758/b744213493234339872d9b20c90ac4bc,test
aburazemi,0.7377777777777778,0.5530303030303031,0.4055555555555555,0.8690476190476191,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,tune
higurashi,0.9622222222222222,0.4516129032258064,0.2916666666666667,1,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,tune
minminzemi,0.94,0.8720379146919431,0.8518518518518519,0.8932038834951457,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,tune
niiniizemi,0.8666666666666667,0.8648648648648648,0.9411764705882352,0.8,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,tune
tsukutsukuboushi,0.8177777777777778,0.6434782608695652,0.49333333333333335,0.925,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,tune
aburazemi,0.7527777777777778,0.573346116970278,0.4371345029239766,0.8328690807799443,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,test
higurashi,0.9666666666666668,0.6052631578947368,0.4791666666666667,0.8214285714285714,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,test
minminzemi,0.9311111111111112,0.8516746411483254,0.796420581655481,0.9151670951156812,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,test
niiniizemi,0.86,0.8675078864353313,0.9649122807017544,0.7879656160458453,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,test
tsukutsukuboushi,0.8683333333333333,0.6869220607661822,0.5701754385964912,0.8637873754152824,step3_model_training/mlruns/388903047945866758/fd2159b663604adca735be3046317e4c,test
aburazemi,0.8755555555555555,0.8282208588957056,0.75,0.9246575342465754,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,tune
higurashi,0.9488888888888888,0.14814814814814814,0.08333333333333333,0.6666666666666666,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,tune
minminzemi,0.9311111111111112,0.8393782383419688,0.75,0.9529411764705882,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,tune
niiniizemi,0.9066666666666666,0.8955223880597014,0.8823529411764706,0.9090909090909092,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,tune
tsukutsukuboushi,0.7888888888888889,0.5410628019323672,0.37333333333333335,0.9824561403508772,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,tune
aburazemi,0.8827777777777778,0.8360528360528361,0.7865497076023392,0.8922056384742952,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,test
higurashi,0.9611111111111112,0.46969696969696967,0.3229166666666667,0.8611111111111112,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,test
minminzemi,0.9116666666666666,0.7948387096774192,0.6890380313199105,0.9390243902439024,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,test
niiniizemi,0.9133333333333332,0.9088785046728972,0.9099415204678364,0.9078179696616102,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,test
tsukutsukuboushi,0.8561111111111112,0.6069802731411229,0.43859649122807015,0.9852216748768472,step3_model_training/mlruns/388903047945866758/2c1998336197471bbf67600f7a2cacdc,test
aburazemi,0.9133333333333332,0.8888888888888888,0.8666666666666667,0.912280701754386,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,tune
higurashi,0.9088888888888887,0.4383561643835616,0.6666666666666666,0.32653061224489793,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,tune
